2019-11-27 09:38:55 status half-installed findutils:armhf 4.6.0+git+20190209-2
2019-11-27 09:38:55 status unpacked findutils:armhf 4.6.0+git+20190209-2
2019-11-27 09:38:55 install gcc-9-base:armhf <none> 9-20190402-1ubuntu1
2019-11-27 09:38:55 status half-installed gcc-9-base:armhf 9-20190402-1ubuntu1
2019-11-27 09:38:55 status unpacked gcc-9-base:armhf 9-20190402-1ubuntu1
2019-11-27 09:38:55 install grep:armhf <none> 3.3-1
2019-11-27 09:38:55 status half-installed grep:armhf 3.3-1
2019-11-27 09:38:55 status unpacked grep:armhf 3.3-1
2019-11-27 09:38:55 install gzip:armhf <none> 1.9-3
2019-11-27 09:38:55 status half-installed gzip:armhf 1.9-3
2019-11-27 09:38:55 status unpacked gzip:armhf 1.9-3
2019-11-27 09:38:55 install hostname:armhf <none> 3.21
2019-11-27 09:38:55 status half-installed hostname:armhf 3.21
2019-11-27 09:38:55 status unpacked hostname:armhf 3.21
2019-11-27 09:38:55 install init-system-helpers:all <none> 1.56+nmu1
2019-11-27 09:38:55 status half-installed init-system-helpers:all 1.56+nmu1
2019-11-27 09:38:55 status unpacked init-system-helpers:all 1.56+nmu1
2019-11-27 09:38:55 install libacl1:armhf <none> 2.2.53-4
2019-11-27 09:38:55 status half-installed libacl1:armhf 2.2.53-4
2019-11-27 09:38:55 status unpacked libacl1:armhf 2.2.53-4
2019-11-27 09:38:55 install libattr1:armhf <none> 1:2.4.48-4
2019-11-27 09:38:55 status half-installed libattr1:armhf 1:2.4.48-4
2019-11-27 09:38:55 status unpacked libattr1:armhf 1:2.4.48-4
2019-11-27 09:38:55 install libaudit-common:all <none> 1:2.8.3-1ubuntu3
2019-11-27 09:38:55 status half-installed libaudit-common:all 1:2.8.3-1ubuntu3
2019-11-27 09:38:55 status unpacked libaudit-common:all 1:2.8.3-1ubuntu3
2019-11-27 09:38:55 install libaudit1:armhf <none> 1:2.8.3-1ubuntu3
2019-11-27 09:38:55 status half-installed libaudit1:armhf 1:2.8.3-1ubuntu3
2019-11-27 09:38:55 status unpacked libaudit1:armhf 1:2.8.3-1ubuntu3
2019-11-27 09:38:55 install libblkid1:armhf <none> 2.33.1-0.1ubuntu2
2019-11-27 09:38:55 status half-installed libblkid1:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:55 status unpacked libblkid1:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:55 install libbz2-1.0:armhf <none> 1.0.6-9
2019-11-27 09:38:55 status half-installed libbz2-1.0:armhf 1.0.6-9
2019-11-27 09:38:56 status unpacked libbz2-1.0:armhf 1.0.6-9
2019-11-27 09:38:56 install libc-bin:armhf <none> 2.29-0ubuntu2
2019-11-27 09:38:56 status half-installed libc-bin:armhf 2.29-0ubuntu2
2019-11-27 09:38:56 status unpacked libc-bin:armhf 2.29-0ubuntu2
2019-11-27 09:38:56 upgrade libc6:armhf 2.29-0ubuntu2 2.29-0ubuntu2
2019-11-27 09:38:56 status half-configured libc6:armhf 2.29-0ubuntu2
2019-11-27 09:38:56 status unpacked libc6:armhf 2.29-0ubuntu2
2019-11-27 09:38:56 status half-installed libc6:armhf 2.29-0ubuntu2
2019-11-27 09:38:57 status unpacked libc6:armhf 2.29-0ubuntu2
2019-11-27 09:38:57 install libcap-ng0:armhf <none> 0.7.9-2
2019-11-27 09:38:57 status half-installed libcap-ng0:armhf 0.7.9-2
2019-11-27 09:38:57 status unpacked libcap-ng0:armhf 0.7.9-2
2019-11-27 09:38:57 install libcom-err2:armhf <none> 1.44.6-1
2019-11-27 09:38:57 status half-installed libcom-err2:armhf 1.44.6-1
2019-11-27 09:38:57 status unpacked libcom-err2:armhf 1.44.6-1
2019-11-27 09:38:57 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.5
2019-11-27 09:38:57 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-11-27 09:38:57 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-11-27 09:38:57 install libdebconfclient0:armhf <none> 0.247ubuntu1
2019-11-27 09:38:57 status half-installed libdebconfclient0:armhf 0.247ubuntu1
2019-11-27 09:38:57 status unpacked libdebconfclient0:armhf 0.247ubuntu1
2019-11-27 09:38:57 install libext2fs2:armhf <none> 1.44.6-1
2019-11-27 09:38:57 status half-installed libext2fs2:armhf 1.44.6-1
2019-11-27 09:38:57 status unpacked libext2fs2:armhf 1.44.6-1
2019-11-27 09:38:57 install libfdisk1:armhf <none> 2.33.1-0.1ubuntu2
2019-11-27 09:38:57 status half-installed libfdisk1:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:57 status unpacked libfdisk1:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:57 install libgcc1:armhf <none> 1:9-20190402-1ubuntu1
2019-11-27 09:38:57 status half-installed libgcc1:armhf 1:9-20190402-1ubuntu1
2019-11-27 09:38:57 status unpacked libgcc1:armhf 1:9-20190402-1ubuntu1
2019-11-27 09:38:57 install libgcrypt20:armhf <none> 1.8.4-3ubuntu1
2019-11-27 09:38:57 status half-installed libgcrypt20:armhf 1.8.4-3ubuntu1
2019-11-27 09:38:57 status unpacked libgcrypt20:armhf 1.8.4-3ubuntu1
2019-11-27 09:38:57 install libgpg-error0:armhf <none> 1.35-1
2019-11-27 09:38:57 status half-installed libgpg-error0:armhf 1.35-1
2019-11-27 09:38:57 status unpacked libgpg-error0:armhf 1.35-1
2019-11-27 09:38:57 install liblz4-1:armhf <none> 1.8.3-1ubuntu1
2019-11-27 09:38:57 status half-installed liblz4-1:armhf 1.8.3-1ubuntu1
2019-11-27 09:38:57 status unpacked liblz4-1:armhf 1.8.3-1ubuntu1
2019-11-27 09:38:57 install liblzma5:armhf <none> 5.2.4-1
2019-11-27 09:38:57 status half-installed liblzma5:armhf 5.2.4-1
2019-11-27 09:38:57 status unpacked liblzma5:armhf 5.2.4-1
2019-11-27 09:38:57 install libmount1:armhf <none> 2.33.1-0.1ubuntu2
2019-11-27 09:38:57 status half-installed libmount1:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:57 status unpacked libmount1:armhf 2.33.1-0.1ubuntu2
2019-11-27 09:38:57 install libncurses6:armhf <none> 6.1+20181013-2ubuntu2
2019-11-27 09:38:57 status half-installed libncurses6:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:38:57 status unpacked libncurses6:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:38:57 install libncursesw6:armhf <none> 6.1+20181013-2ubuntu2
2019-11-27 09:38:57 status half-installed libncursesw6:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:38:57 status unpacked libncursesw6:armhf 6.1+20181013-2ubuntu2
2019-11-27 09:38:57 install libpam-modules:armhf <none> 1.3.1-5ubuntu1
2019-11-27 09:38:57 status half-installed libpam-modules:armhf 1.3.1-5ubuntu1
2019-11-27 09:38:58 status unpacked libpam-modules:armhf 1.3.1-5ubuntu1
